Epoch	Loss	Accuracy
1	10.730785359724843	81.58
2	0.9577002373748812	66.67
3	0.6987005185721249	90.35
4	0.4444359481206228	94.74
5	0.2940570977998191	94.74
6	0.2607938653693117	94.74
7	0.24999153472740074	94.74
8	0.26991793423377236	95.61
9	0.22708166673265653	88.60
10	0.31236628475117273	95.61

Final Accuracy: 95.61%
