Epoch	Loss	Accuracy
1	0.6554384745400528	76.32
2	0.5624168402162092	79.82
3	0.48580640965494615	85.09
4	0.42112679676762943	86.84
5	0.37759529619381343	88.60
6	0.3489294509435522	92.11
7	0.32828232902905036	91.23
8	0.3057521427499837	92.11
9	0.286754805723141	91.23
10	0.2781984641634185	93.86

Final Accuracy: 93.86%
