Epoch	Training Loss	Validation Loss
1	2.307360887527466	2.2917404174804688
2	0.3648728132247925	0.3320245146751404
3	0.2602851986885071	0.223228320479393
4	0.19296105206012726	0.15925031900405884
5	0.15190500020980835	0.1181366816163063
6	0.12788334488868713	0.09223460406064987
7	0.10931606590747833	0.07727102935314178
8	0.09722686558961868	0.06741736829280853
9	0.088960200548172	0.060508765280246735
10	0.08228006213903427	0.05524777993559837

Accuracy: 98.38%
